!
!Date: 11/28/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
VMA1	YDL185W	AIM4	YBR194W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ren L, et al. (2011) PMID:21386897	
VMA1	YDL185W	ASC1	YMR116C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Rössler I, et al. (2019) PMID:31062022	
VMA1	YDL185W	ATG14	YBR128C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
VMA1	YDL185W	BFR1	YOR198C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Lapointe CP, et al. (2015) PMID:26524240	RNA Tagging
VMA1	YDL185W	BRE5	YNR051C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ossareh-Nazari B, et al. (2010) PMID:20508643	protein A-tagged Bre5
VMA1	YDL185W	CAF20	YOR276W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gay S, et al. (2018) PMID:29775579	
VMA1	YDL185W	CDC15	YAR019C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ho Y, et al. (2002) PMID:11805837	
VMA1	YDL185W	CDC28	YBR160W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Yahya G, et al. (2014) PMID:24374311	Table S1
VMA1	YDL185W	CPR5	YDR304C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Babu M, et al. (2012) PMID:22940862	Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1.
VMA1	YDL185W	CSE4	YKL049C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ranjitkar P, et al. (2010) PMID:21070971	
VMA1	YDL185W	DBF2	YGR092W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ho Y, et al. (2002) PMID:11805837	
