well_ID,sample,background,rep_ID,condition,smudge,control
A1,BLANK,,,YPD (pH 5.0),,
A2,BY4741,BY4741,,YPD (pH 5.0),,
A3,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
A4,BY4741,BY4741,,YPD (pH 5.0),,
A5,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
A6,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
A7,BLANK,,,1ug/ml Tunicamycin (pH 7.5),,
A8,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
A9,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
A10,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
A11,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
A12,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
B1,BY4741,BY4741,,YPD (pH 5.0),,
B2,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
B3,BY4741,BY4741,,YPD (pH 5.0),,
B4,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
B5,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
B6,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
B7,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
B8,*vma3Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
B9,BY4741,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
B10,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
B11,*ybr196c-aΔ*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
B12,*hog1Δ::KanMX*,BY4741,,1ug/ml Tunicamycin (pH 7.5),,
C1,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
C2,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C3,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C4,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C5,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C6,BY4741,BY4741,,YPD (pH 5.0),,
