"gene2","gene1","row","column","cor","num_obs","Gene_1","Gene_2"
"YBR160W","YBR049C","chr2_334386","chr2_560078",0.638038875255073,3916,"REB1","CDC28"
"YBR196C-A","YBR160W","chr2_560078","chr2_614024",0.725917800336249,1986,"CDC28","YBR196C-A"
"YBR196C-A","YBR049C","chr2_334386","chr2_614024",0.558626304700613,1986,"REB1","YBR196C-A"
"YCR084C","YBR049C","chr2_334386","chr3_260311",0.674503183287458,3912,"REB1","TUP1"
"YCR084C","YBR160W","chr2_560078","chr3_260311",0.509190372634297,3912,"CDC28","TUP1"
"YCR084C","YBR196C-A","chr2_614024","chr3_260311",0.59528472924338,1983,"YBR196C-A","TUP1"
"YDL005C","YBR049C","chr2_334386","chr4_441014",0.708644888460208,3916,"REB1","MED2"
"YDL005C","YBR160W","chr2_560078","chr4_441014",0.546143391142167,3916,"CDC28","MED2"
"YDR141C","YBR160W","chr2_560078","chr4_734901",0.5407452779294,3916,"CDC28","DOP1"
"YDR141C","YBR049C","chr2_334386","chr4_734901",0.720475369155519,3916,"REB1","DOP1"
"YDR141C","YBR196C-A","chr2_614024","chr4_734901",0.671205655063221,1986,"YBR196C-A","DOP1"
"YDR141C","YCR084C","chr3_260311","chr4_734901",0.608334444017105,3912,"TUP1","DOP1"
"YDR170C","YCR084C","chr3_260311","chr4_796193",0.563677882535479,3912,"TUP1","SEC7"
"YDR170C","YDR141C","chr4_734901","chr4_796193",0.935037849878044,3916,"DOP1","SEC7"
"YDR170C","YBR196C-A","chr2_614024","chr4_796193",0.647663630640692,1986,"YBR196C-A","SEC7"
"YDR170C","YBR160W","chr2_560078","chr4_796193",0.529641358910328,3916,"CDC28","SEC7"
"YDR170C","YBR049C","chr2_334386","chr4_796193",0.788275415466714,3916,"REB1","SEC7"
"YDR238C","YDR141C","chr4_734901","chr4_937895",0.885475892553233,3916,"DOP1","SEC26"
"YDR238C","YBR049C","chr2_334386","chr4_937895",0.799495786758805,3916,"REB1","SEC26"
"YDR238C","YBR160W","chr2_560078","chr4_937895",0.743468601122084,3916,"CDC28","SEC26"
"YDR238C","YBR196C-A","chr2_614024","chr4_937895",0.758662933100924,1986,"YBR196C-A","SEC26"
"YDR238C","YDR170C","chr4_796193","chr4_937895",0.783547672385322,3916,"SEC7","SEC26"
"YDR238C","YCR084C","chr3_260311","chr4_937895",0.516782862865504,3912,"TUP1","SEC26"
"YDR259C","YBR049C","chr2_334386","chr4_974631",0.517806789316256,3902,"REB1","YAP6"
"YDR259C","YDL005C","chr4_441014","chr4_974631",0.562119604238883,3902,"MED2","YAP6"
"YDR259C","YDR170C","chr4_796193","chr4_974631",0.533179842654055,3902,"SEC7","YAP6"
"YDR259C","YBR196C-A","chr2_614024","chr4_974631",0.596950485461823,1982,"YBR196C-A","YAP6"
"YDR392W","YDL005C","chr4_441014","chr4_1258696",0.794004041561446,3916,"MED2","SPT3"
"YDR392W","YDR259C","chr4_974631","chr4_1258696",0.560129269281554,3902,"YAP6","SPT3"
"YDR392W","YBR049C","chr2_334386","chr4_1258696",0.689037323361111,3916,"REB1","SPT3"
"YDR392W","YDR238C","chr4_937895","chr4_1258696",0.608756247398708,3916,"SEC26","SPT3"
"YDR392W","YBR160W","chr2_560078","chr4_1258696",0.754243244034048,3916,"CDC28","SPT3"
"YDR392W","YBR196C-A","chr2_614024","chr4_1258696",0.620460879617325,1986,"YBR196C-A","SPT3"
"YDR395W","YBR196C-A","chr2_614024","chr4_1263324",0.623775255493611,1986,"YBR196C-A","SXM1"
"YDR395W","YDR141C","chr4_734901","chr4_1263324",0.775396915754829,3916,"DOP1","SXM1"
"YDR395W","YDR170C","chr4_796193","chr4_1263324",0.827655528050692,3916,"SEC7","SXM1"
"YDR395W","YBR160W","chr2_560078","chr4_1263324",0.527464352773134,3916,"CDC28","SXM1"
"YDR395W","YCR084C","chr3_260311","chr4_1263324",0.595829508085381,3912,"TUP1","SXM1"
"YDR395W","YDR238C","chr4_937895","chr4_1263324",0.871047861029496,3916,"SEC26","SXM1"
"YDR395W","YBR049C","chr2_334386","chr4_1263324",0.656149322918391,3916,"REB1","SXM1"
"YDR463W","YDR259C","chr4_974631","chr4_1386642",0.554438190276293,3902,"YAP6","STP1"
"YDR463W","YBR160W","chr2_560078","chr4_1386642",0.530365315447507,3916,"CDC28","STP1"
"YDR463W","YCR084C","chr3_260311","chr4_1386642",0.5589930561481,3912,"TUP1","STP1"
"YDR463W","YBR196C-A","chr2_614024","chr4_1386642",0.544500941760677,1986,"YBR196C-A","STP1"
"YDR463W","YDL005C","chr4_441014","chr4_1386642",0.812579388604462,3916,"MED2","STP1"
"YDR463W","YBR049C","chr2_334386","chr4_1386642",0.687502475495341,3916,"REB1","STP1"
"YDR463W","YDR392W","chr4_1258696","chr4_1386642",0.73416226865573,3916,"SPT3","STP1"
"YEL009C","YDR392W","chr4_1258696","chr5_138918",0.653077781914128,3916,"SPT3","GCN4"
"YEL009C","YBR160W","chr2_560078","chr5_138918",0.59913521221568,3916,"CDC28","GCN4"
"YEL009C","YBR196C-A","chr2_614024","chr5_138918",0.817232130257376,1986,"YBR196C-A","GCN4"
"YER110C","YBR049C","chr2_334386","chr5_378762",0.545880098033915,3916,"REB1","KAP123"
"YER110C","YDR238C","chr4_937895","chr5_378762",0.681826570256797,3916,"SEC26","KAP123"
"YER110C","YBR196C-A","chr2_614024","chr5_378762",0.626787810811941,1986,"YBR196C-A","KAP123"
"YER110C","YCR084C","chr3_260311","chr5_378762",0.530625261481938,3912,"TUP1","KAP123"
"YER110C","YDR141C","chr4_734901","chr5_378762",0.65189381364494,3916,"DOP1","KAP123"
"YER110C","YDR170C","chr4_796193","chr5_378762",0.693219315111697,3916,"SEC7","KAP123"
"YER110C","YDR395W","chr4_1263324","chr5_378762",0.878477110956131,3916,"SXM1","KAP123"
"YER159C","YDR259C","chr4_974631","chr5_491530",0.592002240776841,3898,"YAP6","BUR6"
"YER159C","YDL005C","chr4_441014","chr5_491530",0.80064390503044,3912,"MED2","BUR6"
"YER159C","YDR392W","chr4_1258696","chr5_491530",0.705227029441374,3912,"SPT3","BUR6"
"YER159C","YDR463W","chr4_1386642","chr5_491530",0.673285199274731,3912,"STP1","BUR6"
"YGL016W","YBR049C","chr2_334386","chr7_461666",0.577045304599386,3916,"REB1","KAP122"
"YGL016W","YBR196C-A","chr2_614024","chr7_461666",0.644777008629212,1986,"YBR196C-A","KAP122"
"YGL016W","YDR170C","chr4_796193","chr7_461666",0.882484551868772,3916,"SEC7","KAP122"
"YGL016W","YDR395W","chr4_1263324","chr7_461666",0.92163360642375,3916,"SXM1","KAP122"
"YGL016W","YER110C","chr5_378762","chr7_461666",0.894861359761968,3916,"KAP123","KAP122"
