"ORF","baseMean","log2FoldChange","lfcSE","pvalue","padj","orf_name","contrast","DE","SGD","DESCRIPTION"
"Q0144",24.5179584281672,-1.18272720295274,0.468807320205113,0.00145186230379555,0.00271949126324616,"Q0144","DEL_vs_WT_plas","down-regulated","S000007278","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YAL012W",725.117102785023,1.3734973248995,0.161176892576477,1.86447857465469e-18,9.22433944744779e-18,"YAL012W","WT_vs_WT_plas","up-regulated","S000000010","Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"
"YAL012W",725.117102785023,1.2339532964229,0.161698976423577,3.24028889792469e-15,1.44847807968932e-14,"YAL012W","DEL_vs_WT_plas","up-regulated","S000000010","Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"
"YAL018C",408.930149907308,-3.66893490225262,0.147563670610538,5.36445767093088e-137,1.707685691913e-135,"YAL018C","WT_vs_WT_plas","down-regulated","S000000016","Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"
"YAL018C",408.930149907308,-3.56156150225304,0.14946370656071,1.22827116624896e-126,3.68656817184151e-125,"YAL018C","DEL_vs_WT_plas","down-regulated","S000000016","Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"
"YAL034W-A",190.441353114009,1.68098382239019,0.134625204176475,1.01035126706265e-36,8.99469496651964e-36,"YAL034W-A","WT_vs_WT_plas","up-regulated","S000000032","Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"
"YAL034W-A",190.441353114009,1.4631809600063,0.137434401471535,2.27198940360848e-27,1.66129341194249e-26,"YAL034W-A","DEL_vs_WT_plas","up-regulated","S000000032","Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"
"YAL038W",24147.8374855702,2.52172657225779,0.0393618655206973,0,0,"YAL038W","WT_vs_WT_plas","up-regulated","S000000036","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
"YAL038W",24147.8374855702,2.44373107271736,0.0394041737301877,0,0,"YAL038W","DEL_vs_WT_plas","up-regulated","S000000036","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
"YAL044C",1389.9717364124,1.46061212129218,0.0707055507411452,7.95239316824258e-96,1.79655677919115e-94,"YAL044C","WT_vs_WT_plas","up-regulated","S000000042","H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"YAL044C",1389.9717364124,1.56897117572502,0.0708179086659734,9.70634212449888e-110,2.59233366147103e-108,"YAL044C","DEL_vs_WT_plas","up-regulated","S000000042","H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"YAL063C-A",96.945370412418,-2.14867096133185,0.210443230235024,1.7286041510393e-25,1.08628035533407e-24,"YAL063C-A","WT_vs_WT_plas","down-regulated","S000028813","Putative protein of unknown function; identified by expression profiling and mass spectrometry"
